CODE,NAME,YEAR,logret,mu,CV_yoy,z
HTI,Haiti,2019,-0.113916207203133,0.0131815038683166,0.0305574859735355,-4.1592986799216
MDV,Maldives,2001,-0.862230911542318,-0.0342531903176498,0.235576514067109,-3.51468704129308
CAF,Central African Republic,2013,-0.673036004163308,0.0220385015178619,0.199085086005848,-3.49134392548496
KGZ,Kyrgyzstan,2022,-0.228502557282454,0.0190561527499342,0.0716247600558516,-3.45632864723521
SEN,Senegal,2002,-0.214437916730919,0.0187121472704219,0.0713401195397887,-3.26814793002001
PNG,Papua New Guinea,2003,-2.30448940131394,0.00794912821211276,0.708097046315118,-3.26570848100526
GHA,Ghana,2002,-0.347026876604193,0.023287360328178,0.113689350521167,-3.25724648117701
IRQ,Iraq,2016,-0.215576486143648,0.00242661682965402,0.0676238203731694,-3.22376200827302
ERI,Eritrea,2011,-0.250679549551153,0.0144277662182574,0.0837461528006314,-3.16560590431578
SYR,Syrian Arab Republic,2012,-0.309998566389712,-0.00325350400918228,0.0976490350693932,-3.14130152092691
MYS,Malaysia,2005,-0.152956613386209,-0.0157203907360137,0.0438977821113141,-3.12626779872837
KEN,Kenya,2010,-0.232064903000223,0.019762073394866,0.0805943622795464,-3.12462273132223
SLE,Sierra Leone,2001,-0.495365728951143,0.00986312061185147,0.162751885864315,-3.10428875757668
CIV,Côte d'Ivoire,2006,-0.358288924898684,0.0244715480195389,0.12487380856847,-3.06517817712231
YEM,Yemen,2015,-0.479554785987483,0.0162906402592837,0.16291115800894,-3.04365540277823
