predictor,Rsq,Rsqadj
inc_u5,0.717235283044523,0.703640825498586
notif_u5,0.749162947159111,0.737103473464838
inc_all,0.397123639998525,0.368139199613839
notif_all,0.42295254349566,0.395209877317566
