p_star,q_normal,q_t,ratio_t_to_normal,safety_stock_normal_CV10,safety_stock_t_CV10
0.7,0.524400512708041,0.400736806560963,0.764180806177191,5.24400512708041,4.00736806560963
0.75,0.674489750196082,0.518739497480496,0.769084329791065,6.74489750196082,5.18739497480496
0.8,0.841621233572914,0.659093277572671,0.783123394801529,8.41621233572914,6.59093277572671
0.85,1.03643338949379,0.838681801074861,0.809199905731025,10.3643338949379,8.38681801074861
0.877,1.16011988299752,0.964206130733055,0.831126286915916,11.6011988299752,9.64206130733055
0.9,1.2815515655446,1.09823943146865,0.856960781755159,12.815515655446,10.9823943146865
0.925,1.43953147093846,1.29208683839527,0.89757456817039,14.3953147093846,12.9208683839527
0.95,1.64485362695147,1.58558533721319,0.963967438337885,16.4485362695147,15.8558533721319
0.975,1.95996398454005,2.16298192757838,1.10358248653532,19.5996398454005,21.6298192757838
0.99,2.32634787404084,3.13336889355722,1.34690470351478,23.2634787404084,31.3336889355722
0.995,2.5758293035489,4.08484435981739,1.58583659025441,25.758293035489,40.8484435981739
