CODE,n,best,aic_normal,aic_gamma,aic_lnorm,NAME
SLB,22,lnorm,-62.3499978222447,-62.4291825369073,-62.4449114273237,Solomon Islands
SLE,23,normal,-18.3306868628784,-16.2330680549616,-14.8118213451267,Sierra Leone
SLV,23,lnorm,-45.9591644299376,-46.3615622418265,-46.458954988898,El Salvador
SOM,23,lnorm,-17.6587858476916,-19.0230308308529,-19.4012287647648,Somalia
SRB,23,lnorm,74.6061884201574,48.6883705779928,42.4578333444225,Serbia
STP,19,normal,-62.3691196140544,-62.2071873959536,-62.105225176576,Sao Tome and Principe
SWZ,19,lnorm,-20.7641281925879,-22.4867732231555,-23.1838022592617,Eswatini
SYR,23,normal,-42.7733344692431,-40.2627972828682,-38.9141523447214,Syrian Arab Republic
TCD,23,lnorm,0.181081770541133,-1.51660476993528,-2.04685713298865,Chad
TGO,23,normal,-58.3734784490892,-57.9518336304361,-57.6902715276623,Togo
TJK,23,lnorm,-46.8623719241718,-48.7724005861112,-49.6329104040122,Tajikistan
TLS,21,lnorm,-14.5714146326407,-16.1307156638699,-16.5512181430159,Timor-Leste
TUN,23,normal,-68.4127509760826,-67.8892209219908,-67.6036685588901,Tunisia
TZA,23,lnorm,-68.647739000214,-69.0817332221925,-69.2686324142142,United Republic of Tanzania
UGA,21,lnorm,-62.8932827260848,-63.1512268992457,-63.2534541609811,Uganda
UKR,18,lnorm,-5.18116800548159,-8.93842752622948,-10.4200751789896,Ukraine
UZB,23,normal,-68.9838837459444,-68.6700912979875,-68.4962302688759,Uzbekistan
VCT,21,lnorm,-14.7724376492849,-16.584246978014,-16.916978116965,Saint Vincent and the Grenadines
VEN,23,normal,-62.6557844576588,-62.0324690431563,-61.6718424390944,Venezuela (Bolivarian Republic of)
VNM,23,normal,-72.899824049631,-72.6544345040797,-72.4988669941789,Viet Nam
VUT,16,lnorm,49.0910450089803,37.0481083955094,35.2808762807841,Vanuatu
YEM,23,lnorm,-12.435079626186,-14.2856253225391,-14.4711609639257,Yemen
ZAF,23,gamma,-33.5611599510631,-33.8355442730234,-33.8065879498585,South Africa
ZMB,21,lnorm,-62.7547429679461,-63.0086134535033,-63.1124425634193,Zambia
ZWE,23,normal,-44.2497666250452,-43.4030441687644,-42.8652709825362,Zimbabwe
