who_region,variable,mid_cf,mid_sq,mid_av,lo_cf,lo_sq,lo_av,hi_cf,hi_sq,hi_av,sq_txt,cf_txt,av_txt
AFR,rslt_att,155691.887904221,70260.7438008557,85431.144103365,104839.183026772,48976.0543031479,55224.4501871731,215355.284408025,93549.1109385281,124761.155827527,"  70,300 (49,000 to 93,500)"," 156,000 (105,000 to 215,000)","  85,400 (55,200 to 125,000)"
AFR,rslt_att_cost,47.2945260793481,21.1064780094783,26.1880480698698,31.1717260381961,14.2142704441699,16.5185046020964,67.5496321185526,29.4736312915085,39.3677655808924,     21 (14 to 29),     47 (31 to 68),     26 (17 to 39)
AFR,rslt_attm,8892.64272159288,2389.64562045662,6502.99710113625,5148.96325794244,1569.96626745719,3395.98938247608,15135.6603573071,3424.18828017011,12104.9099530065,"   2,390 (1,570 to 3,420)","   8,890 (5,150 to 15,100)","   6,500 (3,400 to 12,100)"
AFR,rslt_attm_cost,2.97625724407143,0.783360621064678,2.19289662300675,1.69043518974774,0.501437367742075,1.13460394138927,5.16838474757078,1.16323339633951,4.17599419246325,      0.78 (0.5 to 1.2),      3 (1.7 to 5.2),      2.2 (1.1 to 4.2)
AFR,rslt_attn,146799.245182628,67871.0981803991,78928.1470022287,98705.0851860397,47312.2778230283,50725.5287805333,203111.361770836,90284.098772465,115520.194154368,"  67,900 (47,300 to 90,300)"," 147,000 (98,700 to 203,000)","  78,900 (50,700 to 116,000)"
AFR,rslt_bcg_cost,0,251.112578697518,-251.112578697518,0,200.353167944784,-313.757848828857,0,313.757848828857,-200.353167944784,    251 (200 to 314),      0 (0 to 0),   -251 (-314 to -200)
AFR,rslt_bcg_doses,0,137.074463995,-137.074463995,0,137.074463995,-137.074463995,0,137.074463995,-137.074463995,    137 (137 to 137),      0 (0 to 0),   -137 (-137 to -137)
AFR,rslt_cost,47.2945260793481,253.736664953217,-206.442138873869,31.1717260381961,205.214658018691,-267.764805329992,67.5496321185526,314.375440461314,-156.240469135481,    254 (205 to 314),     47 (31 to 68),   -206 (-268 to -156)
AFR,rslt_health,4189.66348466144,4191.7814578081,-2.11797314665197,4188.50160114653,4191.26146298851,-2.84210405260731,4190.73558506643,4192.26315753543,-1.4952562685679,"   4,190 (4,190 to 4,190)","   4,190 (4,190 to 4,190)",     -2.1 (-2.8 to -1.5)
AFR,rslt_hosp_tbm,8892.64272159288,2389.64562045662,6502.99710113625,5148.96325794244,1569.96626745719,3395.98938247608,15135.6603573071,3424.18828017011,12104.9099530065,"   2,390 (1,570 to 3,420)","   8,890 (5,150 to 15,100)","   6,500 (3,400 to 12,100)"
AFR,rslt_inc,296878.179063169,136761.172320606,160117.006742562,213087.315764262,99465.4223640067,111780.291275133,389798.701073258,177041.158145263,217272.705004567," 137,000 (99,500 to 177,000)"," 297,000 (213,000 to 390,000)"," 160,000 (112,000 to 217,000)"
AFR,rslt_ly_tb,3.95901674500286,1.83261279078345,2.12640395421941,2.81204505860887,1.32337814578673,1.45276041489697,5.25771321575329,2.38312545442583,2.96109587863551,      1.8 (1.3 to 2.4),      4 (2.8 to 5.3),      2.1 (1.5 to 3)
