CV_type,mean,median,sd,min,max
raw,0.180778298644212,0.166656126871484,0.101303795563929,0.0580070023852696,0.665330934960916
yoy,0.115910396597116,0.0768181855766228,0.13837434462608,0.0262225521805819,1.12248472974159
