distribution,mean,median,q25,q75
normal,15.1841585025414,9.00938225973398,3.6190299710065,16.7440555426919
gamma,12.9015787341824,8.48873153818582,3.07799425028074,15.9446690663629
lognormal,13.0342994748947,8.57846330683206,3.0524979629967,15.8005922741126
