CODE,n,p_star,ss_normal,ss_gamma,ss_lnorm,NAME,best,diff_gamma_vs_normal,diff_lnorm_vs_normal
SWZ,19,0.956322994251496,21.1977748908233,21.2295428625673,21.343303836857,Eswatini,lnorm,0.0317679717440669,0.145528946033725
BWA,23,0.962199269683252,23.0420556911125,23.9015239509293,24.4942919215478,Botswana,lnorm,0.859468259816751,1.45223623043529
ZAF,23,0.985486735202139,23.3312746705212,24.6894487337593,25.568627894212,South Africa,gamma,1.35817406323813,2.23735322369081
TCD,23,0.877012685925313,23.4012686386911,23.158317738508,23.1390805221215,Chad,lnorm,-0.242950900183139,-0.262188116569575
CAF,23,0.889227498204441,24.5199272820452,23.9952556744037,24.4908970820465,Central African Republic,gamma,-0.524671607641579,-0.0290301999987115
GNB,22,0.822611148053497,30.0395494717386,24.1037976573628,22.3689338435674,Guinea-Bissau,lnorm,-5.93575181437582,-7.67061562817113
MMR,23,0.962927566855125,32.5570427737608,35.3630594170278,37.7250762717316,Myanmar,normal,2.80601664326696,5.1680334979708
UKR,18,0.971964618085107,34.9590450248238,34.14866378515,34.1261027015694,Ukraine,lnorm,-0.810381239673809,-0.832942323254457
MHL,19,0.987362574970207,37.1067859406317,41.4118313140067,44.5242235722898,Marshall Islands,normal,4.30504537337504,7.41743763165808
AGO,23,0.967126165951538,42.6982110172945,46.9746930403691,50.799798220266,Angola,gamma,4.2764820230746,8.10158720297152
MEX,23,0.645807127400314,93.8917294470439,-3.00678232730707,-17.4681826348368,Mexico,lnorm,-96.898511774351,-111.359912081881
PNG,23,0.975319386527101,274.783752418427,194.791114032099,206.897354352619,Papua New Guinea,lnorm,-79.9926383863278,-67.8863980658081
