who_region,variable,mid_cf,mid_sq,mid_av,lo_cf,lo_sq,lo_av,hi_cf,hi_sq,hi_av,sq_txt,cf_txt,av_txt
EMR,rslt_att,91150.8682738451,39096.0658345448,52054.8024393003,24619.0746560343,12523.2890528433,11575.7658225745,177203.565031927,70522.8530431942,111625.771351868,"  39,100 (12,500 to 70,500)","    91,200 (24,600 to 177,000)","  52,100 (11,600 to 112,000)"
EMR,rslt_att_cost,10.1877895125382,4.56361426423005,5.62417524830814,4.54597398143695,2.22908528750624,2.22605777490917,18.080499838883,7.5807582784638,10.9443016739098,      4.6 (2.2 to 7.6),        10 (4.5 to 18),      5.6 (2.2 to 11)
EMR,rslt_attm,8347.15509957137,1326.74655529909,7020.40854427228,1667.71691243724,388.272680028905,1259.30929388553,19904.3126221035,2818.76590250428,17140.1552906886,"   1,330 (388 to 2,820)","     8,350 (1,670 to 19,900)","   7,020 (1,260 to 17,100)"
EMR,rslt_attn,82803.7131742737,37769.3192792458,45034.393895028,22810.7694041185,12041.4330041543,10315.0342564589,160401.664669524,68087.0131708548,97627.4883710304,"  37,800 (12,000 to 68,100)","    82,800 (22,800 to 160,000)","  45,000 (10,300 to 97,600)"
EMR,rslt_bcg_doses,0,73.407307255,-73.407307255,0,73.407307255,-73.407307255,0,73.407307255,-73.407307255,     73 (73 to 73),         0 (0 to 0),    -73 (-73 to -73)
EMR,rslt_cost,10.1877895125382,211.213361273018,-201.02557176048,4.54597398143695,128.054341989548,-319.145862784195,18.080499838883,329.106517464632,-117.651579869037,    211 (128 to 329),        10 (4.5 to 18),   -201 (-319 to -118)
EMR,rslt_health,2542.8288345751,2543.75344334993,-0.924608774831577,2541.38291038333,2543.25238120284,-1.94049429775049,2543.93923721108,2544.17717332845,-0.228383263674645,"   2,540 (2,540 to 2,540)","     2,540 (2,540 to 2,540)",     -0.92 (-1.9 to -0.23)
EMR,rslt_inc,136061.77543297,60420.9617250164,75640.8137079531,42015.0712917939,22615.2298458592,18567.5625693547,257665.147073441,105163.040061403,160072.390196724,"  60,400 (22,600 to 105,000)","   136,000 (42,000 to 258,000)","  75,600 (18,600 to 160,000)"
EMR,rslt_ly_tb,2324010.59981464,1048303.55848664,1275707.041328,681957.629493119,370322.181187648,302893.145971979,4448830.32919126,1850981.3347521,2728079.64843469,"1,050,000 (370,000 to 1,850,000)"," 2,320,000 (682,000 to 4,450,000)","1,280,000 (303,000 to 2,730,000)"
EMR,rslt_ly_tbm,102048.359808755,16158.0970484498,85890.2627603051,20369.4155138997,4663.6413891448,15433.4946756894,243557.569003849,34429.0915664722,209728.445088712,"  16,200 (4,660 to 34,400)","   102,000 (20,400 to 244,000)","  85,900 (15,400 to 210,000)"
EMR,rslt_ly_tbn,2221962.24000589,1032145.46143819,1189816.77856769,660706.709096837,364493.40305584,287503.990721805,4236248.99110884,1820048.07282725,2554998.26197022,"1,030,000 (364,000 to 1,820,000)"," 2,220,000 (661,000 to 4,240,000)","1,190,000 (288,000 to 2,550,000)"
EMR,rslt_tb_deaths,24635.9364707695,10541.6348166628,14094.3016541067,8551.88447390601,4617.27782851149,3759.83169242669,45697.3838372512,17525.6677904333,29194.2107714452,"  10,500 (4,620 to 17,500)","    24,600 (8,550 to 45,700)","  14,100 (3,760 to 29,200)"
EMR,rslt_tbm_deaths,5342.44590556161,969.554358701792,4372.89154685982,1291.05262051906,381.14194508358,864.83162555903,12371.3192983353,1888.2643851456,10525.2584907037,"    970 (381 to 1,890)","     5,340 (1,290 to 12,400)","   4,370 (865 to 10,500)"
EMR,rslt_tbminc,12106.2509279702,2050.51555277117,10055.7353751991,2651.12742208726,715.073956501616,1903.94840223288,28460.7600102072,4165.71939249735,24357.5784354328,"   2,050 (715 to 4,170)","    12,100 (2,650 to 28,500)","  10,100 (1,900 to 24,400)"
EMR,rslt_tbn_deaths,19293.4905652079,9572.08045796105,9721.41010724686,7189.49119661777,4238.89172289078,2772.94695016812,35025.304514318,15867.5244113009,20261.3417273166,"   9,570 (4,240 to 15,900)","    19,300 (7,190 to 35,000)","   9,720 (2,770 to 20,300)"
EUR,rslt_att,4549.61751483792,1810.53299654879,2739.08451828913,2595.26789789051,1062.87430143819,1513.39260052674,6889.11936702529,2649.07803076035,4343.74969821461,"   1,810 (1,060 to 2,650)","     4,550 (2,600 to 6,890)","   2,740 (1,510 to 4,340)"
EUR,rslt_att_cost,16.0578671224435,6.35437424633361,9.70349287610985,6.44988294067281,2.55387433434142,3.84114299860487,34.1495764163791,13.5016472004175,21.3140246489685,      6.4 (2.6 to 14),        16 (6.4 to 34),      9.7 (3.8 to 21)
EUR,rslt_attm,460.732307961916,61.6751263956397,399.057181566276,238.153785044081,33.9421615857707,203.222294215963,779.753803351016,99.0578748483518,683.449783765127,     62 (34 to 99),       461 (238 to 780),    399 (203 to 683)
