Predictors,Estimate (95%CI),Pvalue
(Intercept),"0 (-0.1 , 0.1)",1
GDP,"0.241 (0.105 , 0.377)",0.001
incbest,"0.853 (0.748 , 0.958)",0
CDR,"-0.119 (-0.226 , -0.011)",0.031
BCG,"0.174 (0.06 , 0.288)",0.003
ucvax,"0.006 (-0.111 , 0.124)",0.914
uctb,"-0.037 (-0.175 , 0.1)",0.591
